Name,Code,Address,City,State,Zip Code,Phone Number,h,i,j,k,l
Manning,6,6 S. Hoyne Avenue,Chicago,IL,60612,(312) 746-6800,,,,,
Harold Washington College,30,30 E. Lake Street ,Chicago,IL,60601,312-553-5600,,,,,
Roseland Community Hospital Chicago,45,45 W 111th St,Chicago,IL,60628,(773) 995-3000,,,,,
Ann & Robert H Lurie Children’s Hospital Chicago,225,"225 E Chicago Ave,",Chicago,IL,60611,(312) 227-4000,,,,,
Kingdom Baptist Church,301,301 N. Central Ave,Chicago,IL,60644,773-378-1255,,,,,
Near North,310,310 W. Division Street,Chicago,IL,60610,(312) 744-0991,,,,,
St Bernard Hospital & Health Care Center Chicago,326,326 W 64th St,Chicago,IL, 60621,(773) 962-3900,,,,,
St Mary’s Hospital Centralia,400,400 N Pleasant Ave,Centralia,IL,62801,(618) 436-8000,,,,,
Harold Washington-HWLC,401,400 S. State Street,Chicago,IL,60605,(312) 747-4300,,,,,
Provident Hospital of Cook County Chicago,500,500 E 51st St,Chicago,IL,60615,(312) 572-2000,,,,,
Garfield Park Behavioral Hospital Chicago,520,520 N Ridgeway Ave,Chicago,IL,60624,(773) 265-3700,,,,,
Calumet,727,727 E 111th St,Chicago,IL,60628,312-747-8210,,,,,
"Daley, Richard M.-W Humboldt",733,733 N. Kedzie Avenue,Chicago,IL,60612,(312) 743-0555,,,,,
Town Hall,850,850 W Addison St,Chicago,IL,60613,312-744-8320,,,,,
Thorek Memorial Hospital Chicago,851, 850 W Irving Park Rd,Chicago,IL,60613,(773) 525-6780,,,,,
Uptown,929,929 W. Buena Avenue,Chicago,IL,60613,(312) 744-8400,,,,,
Norwegian American Hospital Chicago,1044,1044 N Francisco Ave,Chicago,IL,60622,(773) 292-8200,,,,,
Harry S. Truman College,1145,1145 West Wilson Ave,Chicago,IL,60640,773-907-4000,,,,,
Lincoln Park,1150,1150 W. Fullerton Avenue,Chicago,IL,60614,(312) 744-1926,,,,,
Near North,1160,1160 N Larrabee St,Chicago,IL,60610,312-742-5870,,,,,
Presence Mercy Medical Center Aurora,1325,1325 N Highland Ave,Aurora,IL,60506,(630) 859-2222,,,,,
Brainerd,1350,1350 W. 89th Street,Chicago,IL,60620,(312) 747-6291,,,,,
Near West,1412,1412 S Blue Island Ave,Chicago,IL,60608,312-746-8396,,,,,
Lakeview Pantry-Oakdale,1414,1414 W. oakdale Ave,Chicago,IL,60608,773-525-1777,,,,,
"Medical Center, St Elizabeth Chicago",1431,1431 N Claremont Ave,Chicago,IL,60622,(773) 278-2000,,,,,
Englewood,1438,1438 W 63rd St,Chicago,IL,60636,312-747-8223,,,,,
Mount Sinai Hospital Chicago,1500,1500 South Fairfield Avenue,Chicago,IL,60608,(773) 542-2000,,,,,
Humboldt Park,1605,1605 N. Troy Street,Chicago,IL,60647,(312) 744-2244,,,,,
"Women, Infants and Children",1643,1643 W Cermak Rd,Chicago,IL,60608,773-523-0409,,,,,
Lincoln Belmont,1659,1659 W. Melrose Street,Chicago,IL,60657,(312) 744-0166,,,,,
Bucktown-Wicker Park,1701,1701 N. Milwaukee Avenue,Chicago,IL,60647,(312) 744-6022,,,,,
Central,1718,1718 S State St,Chicago,IL,60616,312-745-4290,,,,,
Lozano,1805,1805 S. Loomis Street,Chicago,IL,60608,(312) 746-4329,,,,,
Morgan Park,1900,1900 W Monterey Ave,Chicago,IL,60643,312-745-0710,,,,,
Malcolm X College,1901,1900 W. Jackson,Chicago,IL,60612,312-850-7000,,,,,
Rogers Park Baptist Church,1902,1900 W Greenleaf Ave,Chicago,IL,60626,773-743-2200,,,,,
McKinley Park,1915,1915 W. 35th Street,Chicago,IL,60609,(312) 747-6082,,,,,
"John H Stroger, Jr Hospital of Cook County Chicago",1969,1969 Ogden Ave,Chicago,IL,60612,(312) 864-1111,,,,,
Chinatown,2100,2100 S. Wentworth Avenue,Chicago,IL,60616,(312) 747-8013,,,,,
Shakespeare,2150,2150 N California Ave,Chicago,IL,60647,312-744-8250,,,,,
The Learning Center,2153,2153 S. Millard Ave,Chicago,IL,60623,773-277-3111,,,,,
Presence Saints Mary & Elizabeth,2233,2233 W Division St,Chicago,IL,60622,(312) 770-2000,,,,,
South Chicago,2255,2255 E 103rd St,Chicago,IL,60617,312-747-7581,,,,,
Advocate Trinity Hospital Chicago,2320,2320 E 93rd St,Chicago,IL,60617,(773) 967-2000,,,,,
Mercy Hospital & Medical Center Chicago,2525,2525 Michigan Avenue,Chicago,IL,60616,(312) 567-2000,,,,,
Holy Cross Hospital Chicago,2701,2701 W 68th St,Chicago,IL,60629,(773) 884-9000,,,,,
A Safe Haven,2750,2750 Roosevelt,Chicago,IL,60608,773-435-8300,,,,,
Onward House,2805,2805 N Linder Ave ,Chicago,IL,60634,312-666-6726,,,,,
Saint Anthony Hospital Chicago,2875,2875 W 19th St,Chicago,IL,60623,(773) 484-1000,,,,,
Alvernia Pantry,3020,3020 N. 76th Ct,Chicago,IL,60707,708-453-2555,,,,,
Logan Square,3030,3030 W. Fullerton Avenue,Chicago,IL,60647,(312) 744-5295,,,,,
WIC Food Center,3110,3110 W. Armitage Ave,Chicago,IL,60647,773-395-1010,,,,,
Deering,3120,3120 S Halsted St,Chicago,IL,60608,312-747-8227,,,,,
Harrison,3151,3151 W Harrison St,Chicago,IL,60612,312-746-8386,,,,,
Ogden,3315,3315 W Ogden Ave,Chicago,IL,60623,312-747-7511,,,,,
Albany Park,3401,3401 W. Foster Avenue,Chicago,IL,60625,(773) 539-5450,,,,,
Chicago Lawn,3420,3420 W 63rd St,Chicago,IL,60629,312-747-8730,,,,,
Headquarters,3510,3510 S Michigan Ave,Chicago,IL,60653,312-746-6000,,,,,
Irving Park Community Food,3801,3801 N. Keeler Ave,Chicago,IL,60641,815-261-4165,,,,,
Kindred Chicago Central Hospital Chicago,4058,4058 W Melrose S,Chicago,IL,60641,(773) 736-7000,,,,,
Greater Chicago Food Depository,4100,"4100 W. Ann Lurie, PL",Chicago,IL,60632,773-247-3363,,,,,
Wilbur Wright,4300,4300 N. Narragansett Ave.,Chicago,IL,60634,773-777-7900,,,,,
Sulzer Regional,4455,4455 N. Lincoln Avenue,Chicago,IL,60625,(312) 744-7616,,,,,
Casa Catalina Food Pantry,4537,4537 S. Ashland Ave,Chicago,IL,60609,773-376-9425,,,,,
Albany Park,4650,4650 N Pulaski Rd,Chicago,IL,60630,312-742-4410,,,,,
Chicago Lakeshore Hospital Chicago,4840,4840 n. Marine Dr.,Chicago,IL,60640,(773) 878-9700,,,,,
Methodist Hospital of Chicago Chicago,5025,5025 N Paulina St,Chicago,IL,60640,(773) 271-9040,,,,,
Wentworth,5101,5101 S Wentworth Ave,Chicago,IL,60609,312-747-8366,,,,,
Swedish Covenant Hospital Chicago,5140, 5140 N California Ave,Chicago,IL,60625,(773) 878-8200,,,,,
Jefferson Park,5151,5151 N Milwaukee Ave,Chicago,IL,60630,312-742-4480,,,,,
Lincoln Prairie Behavioral Health Center Springfield,5230,5230 S 6th St,Springfield,IL,62703,(217) 585-1180,,,,,
Lincoln,5400,5400 N Lincoln Ave,Chicago,IL,60625,312-742-8714,,,,,
Grand Central,5555,5555 W Grand Ave,Chicago,IL,60639,312-746-8605,,,,,
Budlong Woods,5630,5630 N. Lincoln Avenue,Chicago,IL,60659,(312) 742-9590,,,,,
Austin,5701,5701 W Madison St,Chicago,IL,60644,312-743-1440,,,,,
Shepherds Hope,5732,5732 S. Lowe Ave,Chicago,IL,60621,773-846-9494,,,,,
Edgewater,6000,6000 N. Broadway Street,Chicago,IL,60660,(312) 744-0718,,,,,
Kennedy King College,6301,6301 South Halsted Street,Chicago,IL,60621,773-602-5000,,,,,
Rogers Park,6464,6464 N Clark St,Chicago,IL,60626,312-744-5907,,,,,
St. Cyprian Food Pantry,6535,6535 W Irving Park Rd,Chicago,IL,60634,773-283-9178,,,,,
Galewood-Mont Clare,6871,6871 W. Belden Avenue,Chicago,IL,60707,(312) 746-0165,,,,,
Rogers Park,6907,6907 N. Clark Street,Chicago,IL,60626,(312) 744-0156,,,,,
Grand Crossing,7040,7040 S Cottage Grove Ave,Chicago,IL,60637,312-747-8201,,,,,
New Hope Community Food,7115,7115 W. Hood Ave,Chicago,IL,60631,773-775-1215,,,,,
Richard J. Daley,7500,7500 S. Pulaski Rd.,Chicago,IL,60652,773-838-7500,,,,,
Jackson Park Hospital & Medical Center Chicago,7531,7531 S Stony Island Ave,Chicago,IL,60649,(773) 947-7500,,,,,
A Just Harvest,7649,7649 N Paulina St,Chicago,IL,60626,773-262-2297,,,,,
Gresham,7808,7808 S Halsted St,Chicago,IL,60620,312-745-3617,,,,,
South Shore Hospital Chicago,8012,8012 S Crandon Ave,Chicago,IL,60617,(773) 356-5000,,,,,
Avalon,8148,8148 S. Stony Island Avenue,Chicago,IL,60617,(312) 747-5234,,,,,
Olive-Harvey College,10001,10001 S. Woodlawn Ave,Chicago,IL,60628,773-291-6100,,,,,
